Seconds,R_Time,Lat,Long,Animal_ID,Sex,Step_m,Interval_s,Speed_kmh,Heading,State_Num
3960000,2025-02-06 06:00:00,37.13752,-122.05997,164M,M,2848.4,14400,0.7121,1.19462,3
4032000,2025-02-07 02:00:00,37.15391,-122.00787,164M,M,4964.4,72000,0.2482,0.22749,2
4046400,2025-02-07 06:00:00,37.17174,-122.00269,164M,M,2035.0,14400,0.5088,4.10499,3
4060800,2025-02-07 10:00:00,37.17102,-122.00399,164M,M,140.3,14400,0.0351,4.42953,1
4075200,2025-02-07 14:00:00,37.16998,-122.00848,164M,M,414.3,14400,0.1036,5.28996,2
4104000,2025-02-07 22:00:00,37.18083,-122.02938,164M,M,2210.1,28800,0.2763,2.69973,2
4132800,2025-02-08 06:00:00,37.14691,-122.00925,164M,M,4172.3,28800,0.5215,3.3316,3
4147200,2025-02-08 10:00:00,37.12303,-122.01501,164M,M,2704.0,14400,0.676,1.81872,3
4161600,2025-02-08 14:00:00,37.12281,-122.01392,164M,M,99.7,14400,0.0249,3.14159,1
4176000,2025-02-08 18:00:00,37.1228,-122.01392,164M,M,1.1,14400,0.0003,3.00481,1
4204800,2025-02-09 02:00:00,37.09423,-122.00899,164M,M,3206.8,28800,0.4008,2.77402,2
4219200,2025-02-09 06:00:00,37.09394,-122.00885,164M,M,34.6,14400,0.0086,1.28584,1
4233600,2025-02-09 10:00:00,37.09419,-122.00778,164M,M,98.9,14400,0.0247,4.92889,1
4248000,2025-02-09 14:00:00,37.09439,-122.00892,164M,M,103.5,14400,0.0259,2.83274,1
4262400,2025-02-09 18:00:00,37.09429,-122.00888,164M,M,11.7,14400,0.0029,3.08468,1
4276800,2025-02-09 22:00:00,37.09415,-122.00887,164M,M,15.6,14400,0.0039,3.87294,1
4305600,2025-02-10 06:00:00,37.09407,-122.00896,164M,M,12.0,28800,0.0015,0.23765,1
4320000,2025-02-10 10:00:00,37.10454,-122.00578,164M,M,1197.9,14400,0.2995,3.14159,2
4334400,2025-02-10 14:00:00,37.10453,-122.00578,164M,M,1.1,14400,0.0003,0.17756,1
4348800,2025-02-10 18:00:00,37.10493,-122.00569,164M,M,45.2,14400,0.0113,5.32581,1
4377600,2025-02-11 02:00:00,37.15035,-122.08668,164M,M,8778.5,28800,1.0973,5.55505,3
4392000,2025-02-11 06:00:00,37.17253,-122.1115,164M,M,3304.6,14400,0.8261,4.93812,3
4406400,2025-02-11 10:00:00,37.17296,-122.11385,164M,M,213.6,14400,0.0534,2.13119,2
4420800,2025-02-11 14:00:00,37.17295,-122.11383,164M,M,2.1,14400,0.0005,5.22852,1
4435200,2025-02-11 18:00:00,37.1738,-122.11571,164M,M,191.5,14400,0.0479,3.104,1
4464000,2025-02-12 02:00:00,37.15579,-122.11486,164M,M,2004.0,28800,0.2505,3.48469,2
4507200,2025-02-12 14:00:00,37.13816,-122.12276,164M,M,2081.7,43200,0.1735,3.61967,2
4521600,2025-02-12 18:00:00,37.13796,-122.12289,164M,M,25.0,14400,0.0063,2.56732,1
4536000,2025-02-12 22:00:00,37.13329,-122.1191,164M,M,618.5,14400,0.1546,0.75551,2
4608000,2025-02-13 18:00:00,37.14248,-122.10824,164M,M,1403.9,72000,0.0702,5.95992,2
4622400,2025-02-13 22:00:00,37.14524,-122.1094,164M,M,323.7,14400,0.0809,2.77346,2
4651200,2025-02-14 06:00:00,37.14276,-122.1082,164M,M,295.6,28800,0.0369,3.39399,1
4665600,2025-02-14 10:00:00,37.14242,-122.10831,164M,M,39.0,14400,0.0098,6.24524,1
4694400,2025-02-14 18:00:00,37.14263,-122.10832,164M,M,23.4,28800,0.0029,0.68546,1
4708800,2025-02-14 22:00:00,37.14379,-122.10713,164M,M,166.6,14400,0.0417,2.51451,1
4723200,2025-02-15 02:00:00,37.14368,-122.10703,164M,M,15.1,14400,0.0038,1.50102,1
4752000,2025-02-15 10:00:00,37.14422,-122.09733,164M,M,861.9,28800,0.1077,1.01057,2
4766400,2025-02-15 14:00:00,37.14423,-122.09731,164M,M,2.1,14400,0.0005,4.91851,1
4780800,2025-02-15 18:00:00,37.14424,-122.09737,164M,M,5.4,14400,0.0014,0.32781,1
4795200,2025-02-15 22:00:00,37.1557,-122.09248,164M,M,1346.0,14400,0.3365,2.60496,2
4838400,2025-02-16 10:00:00,37.12436,-122.0691,164M,M,4054.5,43200,0.3379,2.72928,2
4852800,2025-02-16 14:00:00,37.1223,-122.06797,164M,M,250.0,14400,0.0625,1.10179,2
